"cluster_label","feature","cluster_mean","global_mean","std_diff"
"C1","peak_share",0.473,0.283,2.552
"C1","valley_share",0.225,0.448,-2.399
"C1","afternoon_kWh_share",0.393,0.279,1.538
"C1","ratio_weekend_weekday",0.395,1.008,-1.449
"C1","evening_kWh_share",0.235,0.314,-1.167
"C1","night_kWh_share",0.089,0.17,-1.067
"C1","p1_kw",5.848,4.001,1.021
"C1","morning_kWh_share",0.283,0.236,0.849
"C2","corr_cdd",0.021,-0.048,0.593
"C2","corr_hdd",0.059,0.193,-0.586
"C2","beta_hdd_norm",0.008,0.035,-0.436
"C2","seasonal_amplitude_norm",0.279,0.499,-0.431
"C2","valley_share",0.487,0.448,0.421
"C2","peak_share",0.253,0.283,-0.407
"C2","r2_joint",0.051,0.098,-0.362
"C2","beta_hdd",0.028,0.275,-0.349
"C3","night_kWh_share",0.136,0.17,-0.449
"C3","low_day_rate",0.036,0.126,-0.363
"C3","seasonal_amplitude_norm",0.327,0.499,-0.336
"C3","flat_share",0.284,0.269,0.336
"C3","monthly_entropy",0.986,0.964,0.316
"C3","corr_cdd",-0.085,-0.048,-0.314
"C3","valley_share",0.421,0.448,-0.294
"C3","max_month_share",0.039,0.062,-0.292
"C4","r2_joint",0.398,0.098,2.345
"C4","corr_hdd",0.612,0.193,1.834
"C4","beta_hdd_norm",0.142,0.035,1.756
"C4","beta_hdd",1.514,0.275,1.751
"C4","seasonal_amplitude_norm",1.102,0.499,1.183
"C4","corr_cdd",-0.151,-0.048,-0.873
"C4","beta_cdd",-0.325,-0.06,-0.497
"C4","p1_kw",4.812,4.001,0.449
"C5","monthly_entropy",0.844,0.964,-1.729
"C5","seasonal_amplitude_norm",1.274,0.499,1.52
"C5","max_month_share",0.157,0.062,1.237
"C5","low_day_rate",0.384,0.126,1.036
"C5","beta_hdd_norm",0.081,0.035,0.76
"C5","zero_day_rate",0.121,0.037,0.604
"C5","cv_daily",1.39,0.718,0.494
"C5","bridge_ratio",0.043,0.042,0.336
"C6","night_kWh_share",0.464,0.17,3.856
"C6","afternoon_kWh_share",0.054,0.279,-3.05
"C6","valley_share",0.708,0.448,2.807
"C6","flat_share",0.162,0.269,-2.383
"C6","mean_daily_kWh",28.618,6.452,2.352
"C6","median_daily_kWh",26.421,5.841,2.263
"C6","peak_share",0.129,0.283,-2.075
"C6","ratio_night_day",2.934,0.654,2.045
"no_habitual","low_day_rate",0.768,0.126,2.577
"no_habitual","zero_day_rate",0.272,0.037,1.697
"no_habitual","monthly_entropy",0.865,0.964,-1.426
"no_habitual","cv_daily",2.521,0.718,1.325
"no_habitual","max_month_share",0.161,0.062,1.287
"no_habitual","seasonal_amplitude_norm",1.045,0.499,1.072
"no_habitual","corr_hdd",0.016,0.193,-0.774
"no_habitual","p1_kw",2.811,4.001,-0.658
