"model","n","MAE","RMSE","MAPE","sMAPE","WAPE","EUR_dev","MASE"
"xgb",215,2609.188,7673.611,12.031,3.575,2.483,53292.657,0.669
"lgbm",215,2907.971,7623.656,12.591,4.253,2.767,59395.299,0.745
"ensemble_top3",215,3106.283,8009.513,20.707,6.371,2.956,63445.828,0.796
"rf",215,4097.605,10476.7,38.133,7.641,3.899,83693.575,1.05
"stack",215,4203.189,10779.396,40.006,7.759,3.999,85850.145,1.078
"arimax",215,9742.91,23884.484,100.625,11.264,9.271,198998.942,2.498
"snaive365",215,12753.312,29131.002,120.798,13.145,12.135,260486.392,3.269
"snaive7",215,18263.633,26874.605,80.696,20.073,17.378,373034.707,4.682
"ets",215,18481.561,27028.537,80.466,20.299,17.586,377485.876,4.738
"naive",215,19709.937,27911.217,79.962,21.646,18.754,402575.465,5.053
