"model","n","MAE","RMSE","MAPE","sMAPE","WAPE","EUR_dev","MASE","target","cluster"
"xgb",215,2609.188,7673.611,12.031,3.575,2.483,53292.657,0.669,"portfolio_daily",NA
"lgbm",215,2907.971,7623.656,12.591,4.253,2.767,59395.299,0.745,"portfolio_daily",NA
"ensemble_top3",215,3106.283,8009.513,20.707,6.371,2.956,63445.828,0.796,"portfolio_daily",NA
"rf",215,4097.605,10476.7,38.133,7.641,3.899,83693.575,1.05,"portfolio_daily",NA
"stack",215,4203.189,10779.396,40.006,7.759,3.999,85850.145,1.078,"portfolio_daily",NA
"arimax",215,9742.91,23884.484,100.625,11.264,9.271,198998.942,2.498,"portfolio_daily",NA
"snaive365",215,12753.312,29131.002,120.798,13.145,12.135,260486.392,3.269,"portfolio_daily",NA
"snaive7",215,18263.633,26874.605,80.696,20.073,17.378,373034.707,4.682,"portfolio_daily",NA
"ets",215,18481.561,27028.537,80.466,20.299,17.586,377485.876,4.738,"portfolio_daily",NA
"naive",215,19709.937,27911.217,79.962,21.646,18.754,402575.465,5.053,"portfolio_daily",NA
"xgb",5160,30.678,165.568,7.465,5.518,0.7,15038.32,0.197,"portfolio_hourly",NA
"stack",5160,36.123,199.556,11.663,3.791,0.825,17707.348,0.232,"portfolio_hourly",NA
"lgbm",5160,55.49,276.366,20.922,5.043,1.267,27201.064,0.357,"portfolio_hourly",NA
"snaive168",5160,798.403,1236.742,81.265,20.23,18.228,391377.078,5.13,"portfolio_hourly",NA
"snaive24",5160,870.151,1349.625,80.949,21.801,19.866,426548.263,5.591,"portfolio_hourly",NA
"xgb_cluster_1",215,622.823,1352.87,110.956,13.463,10.706,12721.151,0.74,"cluster_daily",1
"xgb_cluster_2",215,1029.464,2832.674,31.329,7.023,3.247,21026.797,1.704,"cluster_daily",2
"xgb_cluster_3",215,1820.341,4860.114,72.853,8.188,4.323,37180.471,1.078,"cluster_daily",3
"xgb_cluster_4",215,651.713,1494,21.659,7.926,5.709,13311.236,0.361,"cluster_daily",4
"xgb_cluster_5",215,741.57,1428.204,37.713,18.236,24.067,15146.569,3.824,"cluster_daily",5
"xgb_cluster_6",215,424.763,1336.705,170.796,7.879,3.874,8675.776,1.076,"cluster_daily",6
