"check_id","table_name","column_name","check_type","expected","observed","status","generated_at"
"hourly_parquet_schema_user_id","hourly_parquet","user_id","required_column","present","present","pass","2026-05-12 21:41:14"
"hourly_parquet_schema_timestamp","hourly_parquet","timestamp","required_column","present","present","pass","2026-05-12 21:41:14"
"hourly_parquet_schema_kWh","hourly_parquet","kWh","required_column","present","present","pass","2026-05-12 21:41:14"
"hourly_parquet_schema_year","hourly_parquet","year","required_column","present","present","pass","2026-05-12 21:41:14"
"daily_consumption_schema_user_id","daily_consumption","user_id","required_column","present","present","pass","2026-05-12 21:41:14"
"daily_consumption_schema_date","daily_consumption","date","required_column","present","present","pass","2026-05-12 21:41:14"
"daily_consumption_schema_daily_kWh","daily_consumption","daily_kWh","required_column","present","present","pass","2026-05-12 21:41:14"
"daily_consumption_schema_hours_recorded","daily_consumption","hours_recorded","required_column","present","present","pass","2026-05-12 21:41:14"
"metadata_schema_cups","metadata","cups","required_column","present","present","pass","2026-05-12 21:41:14"
"metadata_schema_codigo_postal","metadata","codigo_postal","required_column","present","present","pass","2026-05-12 21:41:14"
"metadata_schema_tarifa_atr","metadata","tarifa_atr","required_column","present","present","pass","2026-05-12 21:41:14"
"metadata_schema_fecha_alta","metadata","fecha_alta","required_column","present","present","pass","2026-05-12 21:41:14"
"hourly_timestamp_not_null","hourly_parquet","timestamp","range_or_contract","0 timestamp nulos","0","pass","2026-05-12 21:41:14"
"hourly_user_id_not_missing","hourly_parquet","user_id","range_or_contract","0 user_id vacios","0","pass","2026-05-12 21:41:14"
"hourly_kwh_not_null","hourly_parquet","kWh","range_or_contract","0 kWh nulos","0","pass","2026-05-12 21:41:14"
"hourly_kwh_non_negative","hourly_parquet","kWh","range_or_contract","0 kWh negativos","1351","fail","2026-05-12 21:41:14"
"hourly_kwh_extreme_threshold","hourly_parquet","kWh","range_or_contract","0 lecturas >100 kWh/h","198595","warn","2026-05-12 21:41:14"
"daily_date_not_null","daily_consumption","date","range_or_contract","0 fechas nulas","0","pass","2026-05-12 21:41:14"
"daily_hours_recorded_1_24","daily_consumption","hours_recorded","range_or_contract","hours_recorded entre 1 y 24","0","pass","2026-05-12 21:41:14"
"daily_kwh_non_negative","daily_consumption","daily_kWh","range_or_contract","0 kWh diarios negativos","0","pass","2026-05-12 21:41:14"
"daily_kwh_extreme_threshold","daily_consumption","daily_kWh","range_or_contract","0 dias >200 kWh/dia","196162","warn","2026-05-12 21:41:14"
"metadata_cups_not_missing","metadata","cups","range_or_contract","0 CUPS vacios","0","pass","2026-05-12 21:41:14"
"metadata_fecha_order","metadata","fecha_alta/fecha_baja","range_or_contract","0 fecha_baja anterior a fecha_alta","301","fail","2026-05-12 21:41:14"
