hour,mean_kWh
0,0.4656811401989707
1,0.42447800835706345
2,0.39734666309386674
3,0.3829031525203437
4,0.3775332574356496
5,0.38455542351473976
6,0.41466395428405395
7,0.46706366088843065
8,0.5380302649787911
9,0.590644351715321
10,0.6245016195729645
11,0.6336850126677701
12,0.630000354559595
13,0.6243863762619303
14,0.6068136910481711
15,0.5714257058172184
16,0.5379666050706603
17,0.5196501224233517
18,0.5244491347910644
19,0.5669819763939696
20,0.6189684560356131
21,0.638997574325224
22,0.5979588627520602
23,0.5285625231638175
